Sex,Site,State,Year,Rate
Both,All Sites,Alaska,2001,147.7
Both,All Sites,Alabama,2001,143.5
Both,All Sites,Arkansas,2001,144
Both,All Sites,Arizona,2001,137.6
Both,All Sites,California,2001,138.3
Both,All Sites,Colorado,2001,141.9
Both,All Sites,Connecticut,2001,170.9
Both,All Sites,District of Columbia,2001,164.6
Both,All Sites,Delaware,2001,169.4
Both,All Sites,Florida,2001,170.5
Both,All Sites,Georgia,2001,151.3
Both,All Sites,Hawaii,2001,153
Both,All Sites,Idaho,2001,140.9
Both,All Sites,Illinois,2001,146.1
Both,All Sites,Indiana,2001,152.7
Both,All Sites,Iowa,2001,149.6
Both,All Sites,Kansas,2001,146.6
Both,All Sites,Kentucky,2001,168.4
Both,All Sites,Louisiana,2001,156
Both,All Sites,Massachusetts,2001,156.7
Both,All Sites,Maryland,2001,148.5
Both,All Sites,Maine,2001,158.6
Both,All Sites,Michigan,2001,162.4
Both,All Sites,Minnesota,2001,146.6
Both,All Sites,Missouri,2001,151.7
Both,All Sites,Mississippi,2001,
Both,All Sites,Montana,2001,145.7
Both,All Sites,North Carolina,2001,147.1
Both,All Sites,North Dakota,2001,125.7
Both,All Sites,Nebraska,2001,147.2
Both,All Sites,New Hampshire,2001,166.6
Both,All Sites,New Jersey,2001,171.1
Both,All Sites,New Mexico,2001,146.4
Both,All Sites,Nevada,2001,138.7
Both,All Sites,New York,2001,158.9
Both,All Sites,Ohio,2001,147.9
Both,All Sites,Oklahoma,2001,144.2
Both,All Sites,Oregon,2001,154.6
Both,All Sites,Pennsylvania,2001,167.6
Both,All Sites,Rhode Island,2001,175.9
Both,All Sites,South Carolina,2001,156.4
Both,All Sites,South Dakota,2001,122.4
Both,All Sites,Tennessee,2001,139.6
Both,All Sites,Texas,2001,147.1
Both,All Sites,Utah,2001,129.2
Both,All Sites,Virginia,2001,131
Both,All Sites,Vermont,2001,161.6
Both,All Sites,Washington,2001,151.9
Both,All Sites,Wisconsin,2001,149.7
Both,All Sites,West Virginia,2001,162.4
Both,All Sites,Wyoming,2001,127.6
Both,All Sites,Alaska,2002,142.4
Both,All Sites,Alabama,2002,152.6
Both,All Sites,Arkansas,2002,139.1
Both,All Sites,Arizona,2002,136.4
Both,All Sites,California,2002,136.7
Both,All Sites,Colorado,2002,144.3
Both,All Sites,Connecticut,2002,163.1
Both,All Sites,District of Columbia,2002,174.6
Both,All Sites,Delaware,2002,173.6
Both,All Sites,Florida,2002,166.5
Both,All Sites,Georgia,2002,152
Both,All Sites,Hawaii,2002,145.1
Both,All Sites,Idaho,2002,140.6
Both,All Sites,Illinois,2002,151.6
Both,All Sites,Indiana,2002,155.2
Both,All Sites,Iowa,2002,159.2
Both,All Sites,Kansas,2002,152.3
Both,All Sites,Kentucky,2002,164.3
Both,All Sites,Louisiana,2002,154
Both,All Sites,Massachusetts,2002,164.2
Both,All Sites,Maryland,2002,163.5
Both,All Sites,Maine,2002,160.6
Both,All Sites,Michigan,2002,163.2
Both,All Sites,Minnesota,2002,145.7
Both,All Sites,Missouri,2002,149.8
Both,All Sites,Mississippi,2002,
Both,All Sites,Montana,2002,146.7
Both,All Sites,North Carolina,2002,148.8
Both,All Sites,North Dakota,2002,132.8
Both,All Sites,Nebraska,2002,153.3
Both,All Sites,New Hampshire,2002,169.6
Both,All Sites,New Jersey,2002,162.9
Both,All Sites,New Mexico,2002,140.4
Both,All Sites,Nevada,2002,135.7
Both,All Sites,New York,2002,158.7
Both,All Sites,Ohio,2002,151.1
Both,All Sites,Oklahoma,2002,140.5
Both,All Sites,Oregon,2002,146.9
Both,All Sites,Pennsylvania,2002,166.6
Both,All Sites,Rhode Island,2002,170.9
Both,All Sites,South Carolina,2002,160.6
Both,All Sites,South Dakota,2002,156.8
Both,All Sites,Tennessee,2002,141.8
Both,All Sites,Texas,2002,148.2
Both,All Sites,Utah,2002,133.4
Both,All Sites,Virginia,2002,141.4
Both,All Sites,Vermont,2002,163.5
Both,All Sites,Washington,2002,158
Both,All Sites,Wisconsin,2002,145.1
Both,All Sites,West Virginia,2002,161.2
Both,All Sites,Wyoming,2002,150.1
Both,All Sites,Alaska,2003,151.4
Both,All Sites,Alabama,2003,148
Both,All Sites,Arkansas,2003,142.8
Both,All Sites,Arizona,2003,137.3
Both,All Sites,California,2003,135.6
Both,All Sites,Colorado,2003,137.3
Both,All Sites,Connecticut,2003,171.1
Both,All Sites,District of Columbia,2003,234
Both,All Sites,Delaware,2003,153.3
Both,All Sites,Florida,2003,166.2
Both,All Sites,Georgia,2003,153.5
Both,All Sites,Hawaii,2003,146.1
Both,All Sites,Idaho,2003,146.2
Both,All Sites,Illinois,2003,150
Both,All Sites,Indiana,2003,154.2
Both,All Sites,Iowa,2003,159.5
Both,All Sites,Kansas,2003,152.2
Both,All Sites,Kentucky,2003,166.9
Both,All Sites,Louisiana,2003,151.6
Both,All Sites,Massachusetts,2003,165.2
Both,All Sites,Maryland,2003,165.9
Both,All Sites,Maine,2003,168.2
Both,All Sites,Michigan,2003,163.8
Both,All Sites,Minnesota,2003,145.9
Both,All Sites,Missouri,2003,152.1
Both,All Sites,Mississippi,2003,152.3
